time,mean_trophic_level
UTC,
2003-01-01T00:00:00Z,3.7168715
2004-01-01T00:00:00Z,3.724248
2005-01-01T00:00:00Z,3.6962895
2006-01-01T00:00:00Z,3.7079413
2007-01-01T00:00:00Z,3.6866584
2008-01-01T00:00:00Z,3.666538
2009-01-01T00:00:00Z,3.6549437
2010-01-01T00:00:00Z,3.6484945
2011-01-01T00:00:00Z,3.6627483
2012-01-01T00:00:00Z,3.6491964
2013-01-01T00:00:00Z,3.6515296
2014-01-01T00:00:00Z,3.6563776
2015-01-01T00:00:00Z,3.6560047
2016-01-01T00:00:00Z,3.654938
2017-01-01T00:00:00Z,3.6439312
