time,mean_trophic_level
UTC,
2003-01-01T00:00:00Z,3.6184657
2004-01-01T00:00:00Z,3.635367
2005-01-01T00:00:00Z,3.633964
2006-01-01T00:00:00Z,3.6597972
2007-01-01T00:00:00Z,3.6335473
2008-01-01T00:00:00Z,3.6423705
2009-01-01T00:00:00Z,3.614844
2010-01-01T00:00:00Z,3.628354
2011-01-01T00:00:00Z,3.6224244
2012-01-01T00:00:00Z,3.619477
2013-01-01T00:00:00Z,3.6700406
2014-01-01T00:00:00Z,3.636117
2015-01-01T00:00:00Z,3.6185105
2016-01-01T00:00:00Z,3.6228797
2017-01-01T00:00:00Z,3.6199412
