time,SST
UTC,degree_C
1982-04-01T00:00:00Z,14.88
1982-05-01T00:00:00Z,16.04
1982-06-01T00:00:00Z,16.64
1982-07-01T00:00:00Z,17.86
1982-08-01T00:00:00Z,18.78
1982-09-01T00:00:00Z,19.56
1982-10-01T00:00:00Z,18.78
1982-11-01T00:00:00Z,17.31
1982-12-01T00:00:00Z,15.35
1983-01-01T00:00:00Z,15.86
1983-02-01T00:00:00Z,16.1
1983-03-01T00:00:00Z,16.01
1983-04-01T00:00:00Z,14.99
1983-05-01T00:00:00Z,16.68
1983-06-01T00:00:00Z,18.04
1983-07-01T00:00:00Z,19.76
1983-08-01T00:00:00Z,21.64
1983-09-01T00:00:00Z,21.38
1983-10-01T00:00:00Z,21.12
1983-11-01T00:00:00Z,19.03
1983-12-01T00:00:00Z,16.68
1984-01-01T00:00:00Z,16.25
1984-02-01T00:00:00Z,16.09
1984-04-01T00:00:00Z,15.83
1984-05-01T00:00:00Z,17.1
1984-06-01T00:00:00Z,18.41
1984-07-01T00:00:00Z,20.98
1984-08-01T00:00:00Z,22.44
1984-09-01T00:00:00Z,21.8
1984-10-01T00:00:00Z,18.99
1984-11-01T00:00:00Z,16.11
1984-12-01T00:00:00Z,14.73
1985-01-01T00:00:00Z,14.33
1985-02-01T00:00:00Z,13.98
1985-03-01T00:00:00Z,13.7
1985-04-01T00:00:00Z,14.51
1985-05-01T00:00:00Z,14.94
1985-06-01T00:00:00Z,17.22
1985-07-01T00:00:00Z,19.38
1985-08-01T00:00:00Z,20.33
1985-09-01T00:00:00Z,19.94
1985-10-01T00:00:00Z,19.6
1985-11-01T00:00:00Z,16.9
1985-12-01T00:00:00Z,14.81
1986-01-01T00:00:00Z,15.1
1986-02-01T00:00:00Z,14.97
1986-03-01T00:00:00Z,15.32
1986-04-01T00:00:00Z,15.55
1986-05-01T00:00:00Z,16.24
1986-06-01T00:00:00Z,18.15
1986-07-01T00:00:00Z,19.86
1986-08-01T00:00:00Z,19.94
1986-09-01T00:00:00Z,19.46
1986-10-01T00:00:00Z,19.07
1986-11-01T00:00:00Z,18.14
1986-12-01T00:00:00Z,17.15
1987-01-01T00:00:00Z,15.06
1987-02-01T00:00:00Z,15.06
1987-03-01T00:00:00Z,14.48
1987-04-01T00:00:00Z,15.55
1987-05-01T00:00:00Z,17.67
1987-06-01T00:00:00Z,17.8
1987-07-01T00:00:00Z,18.95
1987-08-01T00:00:00Z,20.31
1987-10-01T00:00:00Z,19.37
1987-11-01T00:00:00Z,17.6
1987-12-01T00:00:00Z,14.38
1988-01-01T00:00:00Z,13.72
1988-02-01T00:00:00Z,14.3
1988-03-01T00:00:00Z,14.99
1988-04-01T00:00:00Z,16.22
1988-05-01T00:00:00Z,15.98
1988-06-01T00:00:00Z,16.18
1988-07-01T00:00:00Z,19.85
1988-08-01T00:00:00Z,20.34
1988-09-01T00:00:00Z,19.19
1988-10-01T00:00:00Z,18.8
1988-11-01T00:00:00Z,16.27
1988-12-01T00:00:00Z,14.26
1989-01-01T00:00:00Z,12.87
1989-02-01T00:00:00Z,13.07
1989-03-01T00:00:00Z,14.13
1989-04-01T00:00:00Z,15.77
1989-05-01T00:00:00Z,16.76
1989-10-01T00:00:00Z,17.88
1989-11-01T00:00:00Z,17.67
1989-12-01T00:00:00Z,16.9
1990-01-01T00:00:00Z,15.73
